frame,file_loc,stereo_calib_partners,upper_side,video,category,imgpoints_index,stereo_partner
1796,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_1796.png,"[{""video"": ""cam-2_15-17-14-calibration"", ""frame"": 1796, ""imgpoints_index"": 1}]",AB,cam-3_15-17-14-calibration,cb_detected,0,[]
1800,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_1800.png,"[{""video"": ""cam-2_15-17-14-calibration"", ""frame"": 1800, ""imgpoints_index"": 2}]",AB,cam-3_15-17-14-calibration,cb_detected,1,[]
1804,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_1804.png,"[{""video"": ""cam-2_15-17-14-calibration"", ""frame"": 1804, ""imgpoints_index"": 3}]",AB,cam-3_15-17-14-calibration,cb_detected,2,[]
1808,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_1808.png,"[{""video"": ""cam-2_15-17-14-calibration"", ""frame"": 1808, ""imgpoints_index"": 4}, {""video"": ""cam-4_15-17-14-calibration"", ""frame"": 1808, ""imgpoints_index"": 0}]",AB,cam-3_15-17-14-calibration,cb_detected,3,[]
1812,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_1812.png,"[{""video"": ""cam-2_15-17-14-calibration"", ""frame"": 1812, ""imgpoints_index"": 5}, {""video"": ""cam-4_15-17-14-calibration"", ""frame"": 1812, ""imgpoints_index"": 1}]",AB,cam-3_15-17-14-calibration,cb_detected,4,[]
1816,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_1816.png,"[{""video"": ""cam-2_15-17-14-calibration"", ""frame"": 1816, ""imgpoints_index"": 6}]",AB,cam-3_15-17-14-calibration,cb_detected,5,[]
1820,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_1820.png,"[{""video"": ""cam-2_15-17-14-calibration"", ""frame"": 1820, ""imgpoints_index"": 7}, {""video"": ""cam-4_15-17-14-calibration"", ""frame"": 1820, ""imgpoints_index"": 2}]",AB,cam-3_15-17-14-calibration,cb_detected,6,[]
1836,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_1836.png,"[{""video"": ""cam-2_15-17-14-calibration"", ""frame"": 1836, ""imgpoints_index"": 11}]",AB,cam-3_15-17-14-calibration,cb_detected,7,[]
1900,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_1900.png,"[{""video"": ""cam-2_15-17-14-calibration"", ""frame"": 1900, ""imgpoints_index"": 13}]",AB,cam-3_15-17-14-calibration,cb_detected,8,[]
1904,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_1904.png,[],AB,cam-3_15-17-14-calibration,cb_detected,9,[]
1908,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_1908.png,[],AB,cam-3_15-17-14-calibration,cb_detected,10,[]
2024,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_2024.png,[],CD,cam-3_15-17-14-calibration,cb_detected,11,[]
2028,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_2028.png,[],CD,cam-3_15-17-14-calibration,cb_detected,12,[]
2040,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_2040.png,[],BC,cam-3_15-17-14-calibration,cb_detected,13,[]
2112,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_2112.png,[],AB,cam-3_15-17-14-calibration,cb_detected,14,[]
2116,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_2116.png,[],AB,cam-3_15-17-14-calibration,cb_detected,15,[]
2120,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_2120.png,[],AB,cam-3_15-17-14-calibration,cb_detected,16,[]
2156,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_2156.png,"[{""video"": ""cam-2_15-17-14-calibration"", ""frame"": 2156, ""imgpoints_index"": 21}]",AB,cam-3_15-17-14-calibration,cb_detected,17,[]
2160,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_2160.png,"[{""video"": ""cam-2_15-17-14-calibration"", ""frame"": 2160, ""imgpoints_index"": 22}]",DA,cam-3_15-17-14-calibration,cb_detected,18,[]
2204,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_2204.png,"[{""video"": ""cam-2_15-17-14-calibration"", ""frame"": 2204, ""imgpoints_index"": 33}]",AB,cam-3_15-17-14-calibration,cb_detected,19,[]
2208,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_2208.png,"[{""video"": ""cam-2_15-17-14-calibration"", ""frame"": 2208, ""imgpoints_index"": 34}]",AB,cam-3_15-17-14-calibration,cb_detected,20,[]
2212,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_2212.png,[],AB,cam-3_15-17-14-calibration,cb_detected,21,[]
2240,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-3_15-17-14-calibration/visualizations/cam-3_15-17-14-calibration_2240.png,"[{""video"": ""cam-2_15-17-14-calibration"", ""frame"": 2240, ""imgpoints_index"": 38}, {""video"": ""cam-4_15-17-14-calibration"", ""frame"": 2240, ""imgpoints_index"": 5}]",BC,cam-3_15-17-14-calibration,cb_detected,22,[]
