frame,file_loc,stereo_calib_partners,upper_side,video,category,imgpoints_index,stereo_partner
1792,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_1792.png,[],BC,cam-2_15-17-14-calibration,cb_detected,0,[]
1796,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_1796.png,"[{""video"": ""cam-3_15-17-14-calibration"", ""frame"": 1796, ""imgpoints_index"": 0}]",BC,cam-2_15-17-14-calibration,cb_detected,1,[]
1800,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_1800.png,"[{""video"": ""cam-3_15-17-14-calibration"", ""frame"": 1800, ""imgpoints_index"": 1}]",BC,cam-2_15-17-14-calibration,cb_detected,2,[]
1804,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_1804.png,"[{""video"": ""cam-3_15-17-14-calibration"", ""frame"": 1804, ""imgpoints_index"": 2}]",BC,cam-2_15-17-14-calibration,cb_detected,3,[]
1808,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_1808.png,"[{""video"": ""cam-3_15-17-14-calibration"", ""frame"": 1808, ""imgpoints_index"": 3}]",BC,cam-2_15-17-14-calibration,cb_detected,4,[]
1812,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_1812.png,"[{""video"": ""cam-3_15-17-14-calibration"", ""frame"": 1812, ""imgpoints_index"": 4}, {""video"": ""cam-4_15-17-14-calibration"", ""frame"": 1812, ""imgpoints_index"": 0}]",BC,cam-2_15-17-14-calibration,cb_detected,5,[]
1816,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_1816.png,"[{""video"": ""cam-3_15-17-14-calibration"", ""frame"": 1816, ""imgpoints_index"": 5}]",BC,cam-2_15-17-14-calibration,cb_detected,6,[]
1820,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_1820.png,"[{""video"": ""cam-3_15-17-14-calibration"", ""frame"": 1820, ""imgpoints_index"": 6}, {""video"": ""cam-4_15-17-14-calibration"", ""frame"": 1820, ""imgpoints_index"": 1}]",BC,cam-2_15-17-14-calibration,cb_detected,7,[]
1824,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_1824.png,[],BC,cam-2_15-17-14-calibration,cb_detected,8,[]
1828,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_1828.png,[],BC,cam-2_15-17-14-calibration,cb_detected,9,[]
1832,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_1832.png,"[{""video"": ""cam-4_15-17-14-calibration"", ""frame"": 1832, ""imgpoints_index"": 2}]",BC,cam-2_15-17-14-calibration,cb_detected,10,[]
1836,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_1836.png,"[{""video"": ""cam-3_15-17-14-calibration"", ""frame"": 1836, ""imgpoints_index"": 7}]",BC,cam-2_15-17-14-calibration,cb_detected,11,[]
1896,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_1896.png,[],BC,cam-2_15-17-14-calibration,cb_detected,12,[]
1900,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_1900.png,"[{""video"": ""cam-3_15-17-14-calibration"", ""frame"": 1900, ""imgpoints_index"": 8}]",BC,cam-2_15-17-14-calibration,cb_detected,13,[]
2124,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_2124.png,[],BC,cam-2_15-17-14-calibration,cb_detected,14,[]
2128,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_2128.png,[],BC,cam-2_15-17-14-calibration,cb_detected,15,[]
2132,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_2132.png,[],BC,cam-2_15-17-14-calibration,cb_detected,16,[]
2140,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_2140.png,[],BC,cam-2_15-17-14-calibration,cb_detected,17,[]
2144,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_2144.png,[],BC,cam-2_15-17-14-calibration,cb_detected,18,[]
2148,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_2148.png,[],BC,cam-2_15-17-14-calibration,cb_detected,19,[]
2152,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_2152.png,[],BC,cam-2_15-17-14-calibration,cb_detected,20,[]
2156,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-2_15-17-14-calibration/visualizations/cam-2_15-17-14-calibration_2156.png,"[{""video"": ""cam-3_15-17-14-calibration"", ""frame"": 2156, ""imgpoints_index"": 18}]",BC,cam-2_15-17-14-calibration,cb_detected,21,[]
